date,time,lon,lat,P,H,T,RH,U,V
NaN/NaN/NaN, NaN:NaN:NaN,121.44196000000001,24.99768,1016,61.2,22.18,85.8,0.602511735,-0.798110023
NaN/NaN/NaN, NaN:NaN:NaN,121.44203,24.99772,1015,52.84,22.16,85.1,1.2368226999999998,-1.63834252
2020/03/13 , 11:11:20   ,121.44211000000001,24.99771,1014,51.24,22.08,84.6,0.6728047709999999,-0.8912228590000001
2020/03/13 , 11:11:21   ,121.44215,24.99774,1014,51.42,22.02,84.4,4.4080954000000006,0.770921486
2020/03/13 , 11:11:22   ,121.44203999999999,24.99772,1013,55.04,21.97,84.3,-5.97063737,-0.137577952
2020/03/13 , 11:11:22   ,121.44198,24.9977,1013,57.87,21.88,84.1,-6.76999617,-3.21463053
2020/03/13 , 11:11:23   ,121.44197,24.99765,1012,63.53,21.8,84.2,-2.83631691,-1.45141669
2020/03/13 , 11:11:25   ,121.44198999999999,24.99761,1011,72.22,21.7,84.4,3.53504416,-4.00831002
2020/03/13 , 11:11:26   ,121.44203999999999,24.99757,1010,78.36,21.59,84.5,5.11794931,-4.2807878
2020/03/13 , 11:11:27   ,121.44206000000001,24.997529999999998,1010,75.5,21.5,84.4,3.62785059,-3.87138475
2020/03/13 , 11:11:27   ,121.44202,24.99752,1009,65.37,21.4,84.6,-2.0213931,-4.72765333
2020/03/13 , 11:11:28   ,121.44195,24.997510000000002,1009,58.33,21.29,84.8,-8.33835787,-2.38311272
2020/03/13 , 11:11:30   ,121.44188999999999,24.997510000000002,1008,55.92,21.16,85.3,-8.61555588,0.138352122
2020/03/13 , 11:11:31   ,121.44188,24.997510000000002,1007,60.14,21.08,85.8,-3.19162856,-0.015597363700000002
2020/03/13 , 11:11:32   ,121.44186,24.9975,1007,63.86,20.97,86.1,0.46687472,-3.66482575
2020/03/13 , 11:11:33   ,121.44188,24.99752,1006,62.76,20.87,86.4,4.92378955,-1.14670766
2020/03/13 , 11:11:34   ,121.44188999999999,24.99755,1005,67.99,20.76,86.7,4.43399366,2.99865473
2020/03/13 , 11:11:35   ,121.44193,24.99756,1004,82.0,20.65,87.1,1.66361049,1.12507907
2020/03/13 , 11:11:36   ,121.44192,24.99756,1004,89.5,20.54,87.5,1.53475546,1.03793602
2020/03/13 , 11:11:37   ,121.44191000000001,24.99749,1003,96.65,20.46,87.8,-0.364659006,-9.03987023
2020/03/13 , 11:11:37   ,121.44195,24.997410000000002,1003,101.46,20.33,88.2,0.493039492,-9.34533653
2020/03/13 , 11:11:39   ,121.44198999999999,24.99736,1002,108.34,20.24,88.6,0.181328865,-3.35899811
2020/03/13 , 11:11:40   ,121.44201000000001,24.99735,1001,116.3,20.14,89.1,0.07426846990000001,-1.37577462
2020/03/13 , 11:11:41   ,121.44202,24.99738,1000,123.48,20.05,89.4,4.22702553,1.06175543
2020/03/13 , 11:11:42   ,121.44203999999999,24.9974,1000,132.36,19.98,89.8,2.75811453,2.35232422
2020/03/13 , 11:11:43   ,121.44208,24.9974,999,141.14,19.9,90.2,4.52799105,-1.27020309
2020/03/13 , 11:11:44   ,121.44213,24.99736,998,149.81,19.8,90.6,6.58797318,-3.9537602999999995
2020/03/13 , 11:11:45   ,121.44215,24.9973,997,162.95,19.72,90.9,3.82076396,-7.28057011
2020/03/13 , 11:11:46   ,121.44218000000001,24.99721,997,172.48,19.63,91.2,0.23250316699999998,-9.31376508
2020/03/13 , 11:11:46   ,121.44218000000001,24.99713,996,177.99,19.55,91.5,0.8648169859999999,-9.08113593
2020/03/13 , 11:11:48   ,121.44218000000001,24.99708,996,186.6,19.48,91.7,-0.0818209952,-3.42124396
2020/03/13 , 11:11:49   ,121.4422,24.99708,995,192.89,19.42,92.0,2.06948303,-1.05354451
2020/03/13 , 11:11:50   ,121.44221,24.9971,994,201.17,19.33,92.3,2.62622772,1.33755255
2020/03/13 , 11:11:51   ,121.44218000000001,24.997120000000002,994,211.16,19.28,92.6,-0.141183072,2.42645166
2020/03/13 , 11:11:52   ,121.44218000000001,24.997120000000002,993,216.38,19.2,92.8,-1.85226916,1.38214815
2020/03/13 , 11:11:53   ,121.44214,24.997120000000002,992,227.8,19.14,93.1,-1.85620539,1.26669225
2020/03/13 , 11:11:54   ,121.44216000000002,24.99713,992,231.19,19.06,93.4,-0.38546663299999995,0.26304610300000003
2020/03/13 , 11:11:55   ,121.44221,24.997120000000002,991,234.95,19.01,93.6,-0.543706559,-3.23518592
2020/03/13 , 11:11:56   ,121.44227,24.99708,990,242.13,18.93,94.0,4.72373015,-5.58384671
2020/03/13 , 11:11:57   ,121.44231,24.99703,989,245.68,18.87,94.3,3.96415532,-6.95836729
2020/03/13 , 11:11:58   ,121.44233,24.99697,989,252.69,18.8,94.6,-0.00501539689,-5.74722003
2020/03/13 , 11:11:59   ,121.44233999999999,24.99693,988,259.23,18.75,94.8,-0.463738881,-4.05132298
2020/03/13 , 11:12:00   ,121.44233999999999,24.9969,987,265.18,18.7,94.7,-0.330506788,-3.50947151
2020/03/13 , 11:12:01   ,121.44236000000001,24.99686,987,273.28,18.63,94.8,0.7362018640000001,-3.29087975
2020/03/13 , 11:12:02   ,121.44238,24.99683,986,281.98,18.59,95.0,3.08716148,-3.42142808
2020/03/13 , 11:12:02   ,121.44243,24.99681,985,284.54,18.54,95.1,3.95465818,-4.22751857
2020/03/13 , 11:12:04   ,121.44246000000001,24.996760000000002,985,291.69,18.48,95.3,2.06463206,-5.09477641
2020/03/13 , 11:12:05   ,121.44247,24.99672,984,298.36,18.43,95.5,1.48765478,-4.40267619
2020/03/13 , 11:12:06   ,121.44248,24.996679999999998,983,303.37,18.39,95.6,0.7865957379999999,-2.95832189
2020/03/13 , 11:12:07   ,121.44248999999999,24.996660000000002,983,310.22,18.33,95.6,0.652946844,-1.88453418
2020/03/13 , 11:12:08   ,121.44252,24.99665,982,315.1,18.29,95.7,3.13399905,-2.1587735
2020/03/13 , 11:12:09   ,121.44258,24.99662,981,322.57,18.24,95.9,4.04188213,-3.63932702
2020/03/13 , 11:12:10   ,121.44261000000002,24.996579999999998,980,326.73,18.18,96.0,4.22601765,-4.46420384
2020/03/13 , 11:12:11   ,121.44261000000002,24.99653,979,334.77,18.13,96.0,-0.74883079,-5.12053488
2020/03/13 , 11:12:12   ,121.4426,24.996489999999998,979,340.01,18.07,96.0,-0.5692087570000001,-4.32940864
2020/03/13 , 11:12:13   ,121.44259,24.99646,978,345.6,18.04,96.1,-0.857191943,-3.87294028
2020/03/13 , 11:12:14   ,121.44259,24.99643,977,350.66,18.0,96.2,-0.7035025290000001,-3.81060483
2020/03/13 , 11:12:15   ,121.4426,24.996389999999998,977,354.78,17.95,96.3,0.642532091,-5.129357499999999
2020/03/13 , 11:12:16   ,121.4426,24.99635,976,361.36,17.91,96.4,-0.204277469,-4.28402131
2020/03/13 , 11:12:17   ,121.4426,24.99632,975,366.81,17.87,96.6,-0.557549897,-3.65213059
2020/03/13 , 11:12:18   ,121.44261000000002,24.99629,975,371.44,17.84,96.7,-0.281919423,-3.42173921
2020/03/13 , 11:12:19   ,121.44261999999999,24.99626,974,376.44,17.77,96.9,0.500570032,-2.69558264
2020/03/13 , 11:12:20   ,121.44264,24.99624,973,382.28,17.74,97.0,1.99386141,-3.40662296
2020/03/13 , 11:12:21   ,121.44266999999999,24.9962,972,389.04,17.7,97.2,2.02419271,-4.01592475
2020/03/13 , 11:12:22   ,121.44268000000001,24.99616,972,396.53,17.66,97.3,1.69494489,-4.28531188
2020/03/13 , 11:12:23   ,121.44268999999998,24.996129999999997,971,403.75,17.62,97.5,0.9624190640000001,-3.20587681
2020/03/13 , 11:12:24   ,121.4427,24.99611,970,407.86,17.57,97.6,0.996966881,-2.47628566
2020/03/13 , 11:12:25   ,121.44272,24.99608,970,414.88,17.51,97.8,1.80476175,-2.91418866
2020/03/13 , 11:12:26   ,121.44273999999999,24.99605,969,423.25,17.47,98.0,2.43758851,-3.39977059
2020/03/13 , 11:12:27   ,121.44276,24.99602,968,428.2,17.42,98.1,2.599566,-4.56122315
2020/03/13 , 11:12:28   ,121.44278,24.99598,967,434.56,17.4,98.3,0.52952898,-4.77349698
2020/03/13 , 11:12:29   ,121.44278999999999,24.995929999999998,967,440.38,17.33,98.4,0.6318584770000001,-5.02991271
2020/03/13 , 11:12:31   ,121.44278999999999,24.99586,965,454.66,17.27,98.8,0.171032245,-3.37622627
2020/03/13 , 11:12:32   ,121.4428,24.995829999999998,965,460.5,17.23,98.9,1.3027916000000002,-4.30148404
2020/03/13 , 11:12:33   ,121.44281000000001,24.99579,964,466.01,17.18,99.0,0.93727726,-4.68210811
2020/03/13 , 11:12:34   ,121.44282,24.995739999999998,963,473.27,17.13,99.2,0.349133199,-4.94324153
2020/03/13 , 11:12:35   ,121.44282,24.9957,963,479.4,17.1,99.3,0.30286626699999997,-4.64569366
2020/03/13 , 11:12:36   ,121.44283,24.99566,962,486.04,17.07,99.4,0.213514483,-3.85520305
2020/03/13 , 11:12:37   ,121.44285,24.99563,961,491.96,17.03,99.6,1.51108908,-3.68258501
2020/03/13 , 11:12:38   ,121.44286000000001,24.99559,960,499.82,16.98,99.7,1.65526722,-4.14265649
2020/03/13 , 11:12:39   ,121.44286000000001,24.99555,959,506.99,16.95,99.7,0.0159450079,-4.808306900000001
2020/03/13 , 11:12:40   ,121.44286000000001,24.99551,959,513.19,16.91,99.8,-0.10402128699999999,-4.54881079
2020/03/13 , 11:12:41   ,121.44283999999999,24.99547,958,522.36,16.87,99.9,-1.31547528,-3.85976636
2020/03/13 , 11:12:42   ,121.44281000000001,24.99544,957,532.02,16.83,100.0,-1.81926194,-2.8261907
2020/03/13 , 11:12:43   ,121.4428,24.995420000000003,957,539.44,16.79,100.0,-0.937380488,-2.00564748
2020/03/13 , 11:12:44   ,121.44283,24.9954,956,546.71,16.74,100.0,0.37378584200000003,-2.48032664
2020/03/13 , 11:12:45   ,121.44285,24.99537,955,552.45,16.71,100.0,1.80391561,-3.95833153
2020/03/13 , 11:12:46   ,121.44286000000001,24.99533,954,558.75,16.68,100.0,1.76045069,-5.42132948
2020/03/13 , 11:12:47   ,121.44288,24.99529,953,566.38,16.63,100.0,0.70421488,-4.55420877
2020/03/13 , 11:12:48   ,121.44288999999999,24.99525,952,573.04,16.59,100.0,0.9945650159999999,-3.84569757
2020/03/13 , 11:12:49   ,121.44288999999999,24.99522,952,584.09,16.56,100.0,0.888885756,-2.90017124
2020/03/13 , 11:12:50   ,121.4429,24.995179999999998,951,592.25,16.52,100.0,1.18693815,-4.29743109
2020/03/13 , 11:12:51   ,121.44291000000001,24.99514,950,600.77,16.48,100.0,0.0722073141,-4.75500733
2020/03/13 , 11:12:52   ,121.44288999999999,24.9951,949,606.02,16.44,100.0,-0.30763851600000003,-5.50251799
2020/03/13 , 11:12:53   ,121.44288,24.99505,948,613.76,16.41,100.0,-2.13551164,-5.18884938
2020/03/13 , 11:12:54   ,121.44288,24.995,948,621.17,16.37,100.0,1.39295332,-4.95227117
2020/03/13 , 11:12:55   ,121.44291000000001,24.99496,947,628.03,16.35,100.0,2.07896802,-4.3941203
2020/03/13 , 11:12:56   ,121.44293,24.99492,946,636.27,16.32,100.0,1.9345463999999999,-4.15811801
2020/03/13 , 11:12:57   ,121.44294,24.994889999999998,945,643.07,16.27,100.0,0.266190859,-4.09413335
2020/03/13 , 11:12:58   ,121.44294,24.99486,945,650.57,16.24,100.0,-0.265230915,-3.32555107
2020/03/13 , 11:12:59   ,121.44294,24.99484,944,657.39,16.21,100.0,-0.198757555,-2.49208656
2020/03/13 , 11:13:00   ,121.44293,24.99482,943,664.84,16.18,100.0,-0.103133087,-1.29311603
2020/03/13 , 11:13:01   ,121.44293,24.99481,942,670.43,16.14,100.0,-0.160772778,-2.01582113
2020/03/13 , 11:13:02   ,121.44296000000001,24.99479,941,678.59,16.11,100.0,-0.177777591,-2.22903298
2020/03/13 , 11:13:03   ,121.44298,24.994770000000003,941,684.98,16.08,100.0,1.05239516,-3.20087805
2020/03/13 , 11:13:04   ,121.44301000000002,24.99474,940,691.17,16.06,100.0,2.30105269,-3.4101669
2020/03/13 , 11:13:05   ,121.44306,24.99471,939,698.89,16.02,100.0,2.91875274,-2.96186066
2020/03/13 , 11:13:06   ,121.44311,24.99469,938,704.96,16.0,100.0,4.66812655,-2.67562565
2020/03/13 , 11:13:07   ,121.44316,24.994670000000003,938,713.29,15.97,100.0,4.51540522,-2.9055205
2020/03/13 , 11:13:08   ,121.44323,24.99464,937,720.12,15.93,100.0,5.97791365,-3.53955435
2020/03/13 , 11:13:09   ,121.44328,24.99461,936,727.82,15.92,100.0,3.4745388,-3.55676454
2020/03/13 , 11:13:10   ,121.44332,24.99459,935,735.96,15.9,100.0,3.87544259,-3.02564965
2020/03/13 , 11:13:11   ,121.44335,24.99456,935,744.13,15.85,100.0,2.89678964,-1.74263182
2020/03/13 , 11:13:12   ,121.44338,24.99455,934,751.43,15.82,100.0,3.16139968,-1.74518638
2020/03/13 , 11:13:13   ,121.44341000000001,24.994529999999997,933,757.44,15.8,100.0,4.07874248,-1.95946034
2020/03/13 , 11:13:14   ,121.44345,24.99452,932,762.34,15.78,100.0,2.77611427,-1.70053861
2020/03/13 , 11:13:15   ,121.44348000000001,24.9945,932,768.05,15.75,100.0,2.61195112,-2.21117984
2020/03/13 , 11:13:16   ,121.4435,24.99449,931,774.34,15.72,100.0,1.36321799,-1.15404922
2020/03/13 , 11:13:17   ,121.44353999999998,24.99449,930,780.18,15.69,100.0,3.2558837000000005,-1.02657619
2020/03/13 , 11:13:18   ,121.44358999999999,24.99449,929,786.58,15.67,100.0,4.49167608,-0.474472127
2020/03/13 , 11:13:19   ,121.44365,24.99449,929,792.93,15.64,100.0,4.21277367,-0.9023713879999999
2020/03/13 , 11:13:20   ,121.44368,24.99447,928,798.97,15.61,100.0,3.63816333,-1.10674587
2020/03/13 , 11:13:21   ,121.44372,24.99446,927,805.05,15.61,100.0,3.6965871,-1.45388899
2020/03/13 , 11:13:22   ,121.44375,24.99445,927,813.26,15.59,100.0,1.56911075,-0.617140291
2020/03/13 , 11:13:23   ,121.44376000000001,24.99445,926,820.23,15.55,100.0,2.27229635,-0.862710623
2020/03/13 , 11:13:24   ,121.44378,24.99445,925,827.19,15.54,100.0,1.9009381999999997,-0.721719058
2020/03/13 , 11:13:25   ,121.44381000000001,24.99445,924,835.2,15.53,100.0,3.15382834,0.214453447
2020/03/13 , 11:13:26   ,121.44384,24.99445,924,840.88,15.5,100.0,4.84846275,-0.895983856
2020/03/13 , 11:13:27   ,121.44388000000001,24.99445,923,848.96,15.5,100.0,2.62856603,-0.414913236
2020/03/13 , 11:13:28   ,121.44391999999999,24.99445,922,856.06,15.48,100.0,4.55683911,0.19736224800000002
2020/03/13 , 11:13:29   ,121.44397,24.99446,921,861.77,15.46,100.0,4.07544219,0.619263262
2020/03/13 , 11:13:30   ,121.44401,24.99447,920,868.66,15.44,100.0,3.78155749,0.47369910200000004
2020/03/13 , 11:13:31   ,121.44403999999999,24.99448,920,874.51,15.41,100.0,6.0038317999999995,-0.295737145
2020/03/13 , 11:13:32   ,121.44408999999999,24.99447,919,883.84,15.38,100.0,4.46961924,0.21938281899999998
2020/03/13 , 11:13:33   ,121.44413,24.99448,918,891.92,15.37,100.0,4.20277138,0.00733522727
2020/03/13 , 11:13:34   ,121.44416000000001,24.99447,917,898.14,15.36,100.0,4.42869465,-0.339214465
2020/03/13 , 11:13:35   ,121.4442,24.99447,917,905.02,15.35,100.0,3.30274098,-0.42953733299999997
2020/03/13 , 11:13:36   ,121.44424,24.99447,916,911.73,15.32,100.0,3.4004267,-0.126470874
2020/03/13 , 11:13:37   ,121.44428,24.99448,915,920.07,15.3,100.0,4.76901661,0.591476793
2020/03/13 , 11:13:38   ,121.44433000000001,24.99448,914,926.1,15.28,100.0,8.14323331,0.448149245
2020/03/13 , 11:13:39   ,121.44438000000001,24.99449,914,932.73,15.25,100.0,4.73336798,1.81507426
2020/03/13 , 11:13:40   ,121.44442,24.99452,913,940.34,15.23,100.0,3.47801949,3.77173445
2020/03/13 , 11:13:41   ,121.44446,24.99455,912,946.37,15.21,100.0,4.08292253,3.11598796
2020/03/13 , 11:13:41   ,121.44448999999999,24.99458,912,953.12,15.2,100.0,3.29044823,2.94200026
2020/03/13 , 11:13:43   ,121.44451000000001,24.9946,911,960.32,15.18,100.0,3.2661531000000004,3.02237389
2020/03/13 , 11:13:44   ,121.44456000000001,24.99462,910,967.75,15.17,100.0,5.20217907,1.2489327
2020/03/13 , 11:13:45   ,121.44462,24.99461,909,975.17,15.14,100.0,5.86132817,-0.956678285
2020/03/13 , 11:13:46   ,121.44468,24.99459,909,980.49,15.11,100.0,7.54138188,-1.97000597
2020/03/13 , 11:13:47   ,121.44474,24.99457,908,988.05,15.09,100.0,4.95641984,-1.90060653
2020/03/13 , 11:13:48   ,121.4448,24.99456,907,995.49,15.08,100.0,5.83544466,-0.48488806
2020/03/13 , 11:13:49   ,121.44485,24.99456,906,1002.4,15.06,100.0,4.39736238,-0.44124063
2020/03/13 , 11:13:50   ,121.4449,24.99456,906,1010.19,15.03,100.0,3.84564018,-0.276333564
2020/03/13 , 11:13:51   ,121.44493,24.99455,905,1018.11,15.03,100.0,4.62992766,-0.775614903
2020/03/13 , 11:13:52   ,121.44498,24.99455,904,1026.03,15.01,100.0,4.33397207,0.37307648
2020/03/13 , 11:13:53   ,121.44502,24.99455,903,1033.23,14.98,100.0,5.19669872,1.29471918
2020/03/13 , 11:13:54   ,121.44507,24.99457,903,1039.87,14.95,100.0,5.58807641,1.73086742
2020/03/13 , 11:13:55   ,121.44511000000001,24.99459,902,1045.21,14.93,100.0,3.2817548999999997,1.0460795
2020/03/13 , 11:13:56   ,121.44514,24.99459,901,1053.75,14.92,100.0,1.59059249,0.507011114
2020/03/13 , 11:13:57   ,121.44516000000002,24.99459,900,1057.6,14.9,100.0,3.90343115,0.19569026899999997
2020/03/13 , 11:13:58   ,121.44518000000001,24.99459,900,1063.54,14.87,100.0,2.46050736,-0.24038774899999998
2020/03/13 , 11:13:59   ,121.44521,24.99458,899,1070.09,14.86,100.0,2.45249367,-0.169344525
2020/03/13 , 11:14:00   ,121.44521999999999,24.99459,898,1076.21,14.84,100.0,3.78327075,0.6175004829999999
2020/03/13 , 11:14:01   ,121.44526,24.99459,897,1083.97,14.81,100.0,2.91566235,0.5324944970000001
2020/03/13 , 11:14:02   ,121.44528999999999,24.99458,897,1090.99,14.79,100.0,2.17395048,-0.0675595533
2020/03/13 , 11:14:03   ,121.44532,24.99457,896,1097.58,14.77,100.0,3.95064115,-1.37575881
2020/03/13 , 11:14:04   ,121.44537,24.99455,895,1104.32,14.76,100.0,4.82293015,-2.07408889
2020/03/13 , 11:14:05   ,121.44543,24.99454,894,1111.49,14.74,100.0,6.17664575,-1.38743684
2020/03/13 , 11:14:06   ,121.4455,24.994529999999997,894,1117.18,14.72,100.0,8.35911008,-0.515658409
2020/03/13 , 11:14:07   ,121.4456,24.994529999999997,893,1124.17,14.71,100.0,8.78086866,-0.435601201
2020/03/13 , 11:14:08   ,121.4457,24.99452,892,1131.1,14.67,100.0,9.18198559,-1.29044392
2020/03/13 , 11:14:09   ,121.44578999999999,24.9945,891,1138.55,14.66,100.0,9.20617296,-2.59120632
2020/03/13 , 11:14:10   ,121.44588,24.99448,890,1147.31,14.63,100.0,7.22383901,-0.647252216
2020/03/13 , 11:14:11   ,121.44594,24.99448,890,1154.51,14.62,100.0,8.68008134,-0.391124067
2020/03/13 , 11:14:12   ,121.44601000000002,24.99448,889,1160.8,14.61,100.0,7.283205099999999,-0.043219916399999996
2020/03/13 , 11:14:13   ,121.4461,24.99447,888,1169.89,14.6,100.0,7.00096497,-0.898086275
2020/03/13 , 11:14:14   ,121.44616,24.99446,888,1176.95,14.59,100.0,7.93917095,-1.41275217
2020/03/13 , 11:14:15   ,121.44625,24.994429999999998,887,1182.9,14.58,100.0,9.63807583,-3.25293702
2020/03/13 , 11:14:16   ,121.44633999999999,24.994410000000002,886,1191.34,14.56,100.0,7.77861745,-0.613556523
2020/03/13 , 11:14:17   ,121.44641999999999,24.994410000000002,886,1197.05,14.56,100.0,9.45753288,0.346791988
2020/03/13 , 11:14:18   ,121.44651,24.99442,885,1205.36,14.57,100.0,7.2692666,1.08639917
2020/03/13 , 11:14:19   ,121.44657,24.994429999999998,884,1213.62,14.58,100.0,6.39994871,0.866444462
2020/03/13 , 11:14:20   ,121.44663999999999,24.994429999999998,883,1223.99,14.58,100.0,7.01414961,0.9259212659999999
2020/03/13 , 11:14:21   ,121.4467,24.99444,882,1231.48,14.59,100.0,7.64732893,1.7599025000000001
2020/03/13 , 11:14:22   ,121.44678,24.99445,882,1238.4,14.59,100.0,8.42048578,1.56064479
2020/03/13 , 11:14:23   ,121.44684,24.99448,881,1245.54,14.6,100.0,5.29287911,3.35507703
2020/03/13 , 11:14:24   ,121.44689,24.994510000000002,880,1253.26,14.61,100.0,4.23201278,3.4997815
2020/03/13 , 11:14:25   ,121.44691999999999,24.99454,880,1261.4,14.61,100.0,4.44758711,3.10152587
2020/03/13 , 11:14:26   ,121.44698000000001,24.99456,879,1268.5,14.6,100.0,5.32021644,1.78321759
2020/03/13 , 11:14:27   ,121.44703999999999,24.99457,878,1277.02,14.61,100.0,6.77876003,1.19527829
2020/03/13 , 11:14:28   ,121.44713,24.99458,877,1283.31,14.61,100.0,9.69160845,1.41558032
2020/03/13 , 11:14:29   ,121.44723,24.99461,877,1288.38,14.63,100.0,10.197204300000001,2.08576755
2020/03/13 , 11:14:30   ,121.44731000000002,24.994629999999997,876,1293.95,14.63,100.0,9.52220517,2.13370057
2020/03/13 , 11:14:31   ,121.44738999999998,24.99464,875,1300.81,14.62,100.0,7.89690876,1.29741446
2020/03/13 , 11:14:32   ,121.44747,24.99465,875,1308.15,14.62,100.0,8.29175538,0.30114664399999996
2020/03/13 , 11:14:33   ,121.44756000000001,24.99465,874,1315.89,14.62,100.0,7.96817834,0.329786255
2020/03/13 , 11:14:34   ,121.44763999999999,24.99466,873,1322.86,14.63,100.0,9.13516543,1.52214704
2020/03/13 , 11:14:35   ,121.44771999999999,24.99468,872,1330.87,14.64,100.0,9.018758199999999,2.62019147
2020/03/13 , 11:14:36   ,121.4478,24.99471,872,1338.72,14.63,100.0,8.50804038,3.15735237
2020/03/13 , 11:14:37   ,121.44787,24.99474,871,1346.23,14.63,100.0,7.16309991,3.03760504
2020/03/13 , 11:14:38   ,121.44795,24.99476,870,1353.92,14.62,100.0,7.23594164,2.64082071
2020/03/13 , 11:14:39   ,121.44803999999999,24.99478,870,1360.26,14.64,100.0,9.3880579,2.44015753
